date;year;month;day
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-27;2024;07;27
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-28;2024;07;28
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-29;2024;07;29
2024-07-30;2024;07;30
2024-07-30;2024;07;30
2024-07-30;2024;07;30
2024-07-30;2024;07;30
2024-07-30;2024;07;30
2024-07-30;2024;07;30
2024-07-30;2024;07;30
2024-07-30;2024;07;30
2024-07-30;2024;07;30
2024-07-30;2024;07;30
2024-07-30;2024;07;30
2024-07-30;2024;07;30
2024-07-30;2024;07;30
2024-07-30;2024;07;30
2024-07-30;2024;07;30
2024-07-30;2024;07;30
2024-07-30;2024;07;30
2024-07-30;2024;07;30
2024-07-30;2024;07;30
2024-07-30;2024;07;30
2024-07-30;2024;07;30
2024-07-30;2024;07;30
2024-07-30;2024;07;30
2024-07-30;2024;07;30
2024-07-30;2024;07;30
2024-07-30;2024;07;30
2024-07-30;2024;07;30
2024-07-30;2024;07;30
2024-07-30;2024;07;30
2024-07-30;2024;07;30
2024-07-30;2024;07;30
2024-07-30;2024;07;30
2024-07-30;2024;07;30
2024-07-30;2024;07;30
2024-07-30;2024;07;30
2024-07-31;2024;07;31
2024-07-31;2024;07;31
2024-07-31;2024;07;31
2024-07-31;2024;07;31
2024-07-31;2024;07;31
